block_id,assay_type,assay_number,drug1,drug2,conc1,conc2,conc_unit1,conc_unit2,analyte,donor_1_id,donor_2_id,response_readout,response_induction,ZIP_fit,ZIP_ref,ZIP_synergy,HSA_ref,HSA_synergy,Bliss_ref,Bliss_synergy,Loewe_ref,Loewe_synergy
1,CD8 MLR,MLR63,GEN1056,GEN1053,100,30,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,3.177361309528351,69.97905575171302,63.386798425085686,79.28946401954464,-15.902665594458952,60.117975301992225,9.860453995910056,56.878514862711924,13.099914435190357,79.8250683015119,-9.846639003609624
1,CD8 MLR,MLR63,GEN1056,GEN1053,100,10,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,3.021792232990265,66.55276077932373,62.25693139741118,79.28946401954464,-17.03253262213346,60.117975301992225,6.43496912065573,64.02999031079375,2.5229541118542045,79.8250683015119,-13.272123878863951
1,CD8 MLR,MLR63,GEN1056,GEN1053,100,1,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,2.269733726978302,49.98922298998327,53.41542564071207,79.28946401954467,-25.874038378832594,60.117975301992225,-10.129587940621363,61.61131423633767,-11.622926874966808,79.8250683015119,-29.836680940141044
1,CD8 MLR,MLR63,GEN1056,GEN1053,100,0.10000000149011612,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,2.1532357335090637,47.423440006632006,65.2271308241861,79.28950701353217,-14.062376189346068,60.117975301992225,-12.692940014558083,56.14318036826676,-8.71814508083262,79.8250683015119,-32.40003301407776
1,CD8 MLR,MLR63,GEN1056,GEN1053,100,0.009999999776482582,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,4.522245228290558,99.59913907318239,77.47291362200279,81.33126166038569,-3.8583480383829,60.117975301992225,39.48149327896197,67.15420283492912,32.44526574602507,79.52170353815815,20.077765042796045
1,CD8 MLR,MLR63,GEN1056,GEN1053,100,0.0010000000474974513,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,2.9751487374305725,65.52547195118885,73.42831057334146,81.33130369118238,-7.902993117840921,60.117975301992225,5.406676180812504,63.65493017420024,1.8697213086044897,79.8250683015119,-14.300416818707177
1,CD8 MLR,MLR63,GEN1056,GEN1053,10,30,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,2.0357192158699036,44.835224774402505,57.35896525393479,76.48299695566189,-19.124031701727098,94.99436344326976,-50.15865123981483,94.58777521908281,-49.75206301562788,76.52062587328108,-31.684913669826145
1,CD8 MLR,MLR63,GEN1056,GEN1053,10,10,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,2.418414890766144,53.2638167287367,53.49158963282683,76.48299695566189,-22.99140732283506,94.99436344326976,-41.72980838982793,95.48536472735232,-42.22080967391049,76.52062587328108,-23.256070819839245
1,CD8 MLR,MLR63,GEN1056,GEN1053,10,1,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,1.9422178864479065,42.77592647399849,49.70272061853899,76.4829969556619,-26.780276337122913,94.99436344326976,-52.21786118791962,95.18179404685498,-52.40529179150483,76.52062587328108,-33.74412361793093
1,CD8 MLR,MLR63,GEN1056,GEN1053,10,0.10000000149011612,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,3.665863335132599,80.73795508811202,63.67919505832069,76.483045775728,-12.803850717407315,94.99436344326976,-14.256713743544907,94.4954825821194,-13.757832882394538,76.76702794315445,3.9706217565704094
1,CD8 MLR,MLR63,GEN1056,GEN1053,10,0.009999999776482582,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,1.9494948983192444,42.9361973308013,71.10475268966476,78.80147685308681,-7.696724163422047,94.99436344326976,-52.05665433130001,95.87748805961101,-52.93977894764126,76.52062587328108,-33.582916761311324
1,CD8 MLR,MLR63,GEN1056,GEN1053,10,0.0010000000474974513,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,3.300323784351349,72.68721420231256,69.96976138699014,78.80152457944091,-8.831763192450765,94.99436344326976,-22.306759397720796,95.43829051923674,-22.75068647368778,76.52062587328108,-3.833021827732111
1,CD8 MLR,MLR63,GEN1056,GEN1053,1,30,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,4.540446102619171,100,65.47540012749153,67.9558481919654,-2.480448064473876,78.45284214105915,21.546536618360307,76.70265102133766,23.2967277380818,78.51594565862553,21.48343310079393
1,CD8 MLR,MLR63,GEN1056,GEN1053,1,10,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,2.559082806110382,56.36192453940081,56.37699052456369,67.9558481919654,-11.578857667401714,78.45284214105915,-22.093132301545516,80.56639594329134,-24.206686103777706,68.25951980270398,-11.899809963190343
1,CD8 MLR,MLR63,GEN1056,GEN1053,1,1,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,1.6570051312446594,36.49432442968127,55.480017410744416,67.95584819196544,-12.475830781221028,78.45284214105915,-41.957392780459735,79.25965197578782,-42.7642026151884,68.25951980270398,-31.76407044210456
1,CD8 MLR,MLR63,GEN1056,GEN1053,1,0.10000000149011612,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,3.6585622429847717,80.57715388085586,74.14905140630503,67.95591471394556,6.193136692359474,78.45284214105915,2.1242668061876913,76.30537007707994,4.2717388701668995,68.25951980270398,12.317589144542865
1,CD8 MLR,MLR63,GEN1056,GEN1053,1,0.009999999776482582,ug/mL,ug/mL,IL-10,LS112418861 58355,LS1170885 CC00481,4.18216997385025,92.10923066431185,79.16574006591627,71.11499741080465,8.05074265511162,78.45284214105915,13.656372332989605,82.25432179339964,9.854892680649115,68.37174522352197,23.737469250526786
