block_id,assay_type,assay_number,drug1,conc1,drug2,conc2,analyte,donor_1_id,donor_2_id,response_readout,response_induction,HSA_synergy
5,CD8 MLR,MLR63,GEN1056,100,GEN1053,30,IL-2,LS112418861 58355,LS1170885 CC00481,5.34203827381134,30.219245017642233,6.848746016141746
5,CD8 MLR,MLR63,GEN1056,100,GEN1053,10,IL-2,LS112418861 58355,LS1170885 CC00481,10.511003136634827,59.459435310363986,36.08647930369135
5,CD8 MLR,MLR63,GEN1056,100,GEN1053,1,IL-2,LS112418861 58355,LS1170885 CC00481,8.55479347705841,48.39340096567895,25.021872781183934
5,CD8 MLR,MLR63,GEN1056,100,GEN1053,0.10000000149011612,IL-2,LS112418861 58355,LS1170885 CC00481,4.209162354469299,23.810707072675633,0.4383858374171936
5,CD8 MLR,MLR63,GEN1056,100,GEN1053,0.009999999776482582,IL-2,LS112418861 58355,LS1170885 CC00481,17.677603363990784,100,76.62846924263232
5,CD8 MLR,MLR63,GEN1056,100,GEN1053,0.0010000000474974513,IL-2,LS112418861 58355,LS1170885 CC00481,5.398326992988586,30.537663289724893,7.1674120038037685
5,CD8 MLR,MLR63,GEN1056,10,GEN1053,30,IL-2,LS112418861 58355,LS1170885 CC00481,4.139339089393616,23.415725560544224,-11.282220376871543
5,CD8 MLR,MLR63,GEN1056,10,GEN1053,10,IL-2,LS112418861 58355,LS1170885 CC00481,14.323900818824768,81.02852249758303,46.32865906393313
5,CD8 MLR,MLR63,GEN1056,10,GEN1053,1,IL-2,LS112418861 58355,LS1170885 CC00481,6.212036728858948,35.14071789568967,0.4389001343051717
5,CD8 MLR,MLR63,GEN1056,10,GEN1053,0.10000000149011612,IL-2,LS112418861 58355,LS1170885 CC00481,17.386423707008362,98.35283295485884,63.65579809059946
5,CD8 MLR,MLR63,GEN1056,10,GEN1053,0.009999999776482582,IL-2,LS112418861 58355,LS1170885 CC00481,7.753917813301086,43.862947106822126,9.164081647139682
5,CD8 MLR,MLR63,GEN1056,10,GEN1053,0.0010000000474974513,IL-2,LS112418861 58355,LS1170885 CC00481,9.147255539894104,51.74488504774936,17.045893849236116
5,CD8 MLR,MLR63,GEN1056,1,GEN1053,30,IL-2,LS112418861 58355,LS1170885 CC00481,10.133837342262268,57.32585539793737,14.111626417138623
5,CD8 MLR,MLR63,GEN1056,1,GEN1053,10,IL-2,LS112418861 58355,LS1170885 CC00481,9.41250193119049,53.245350839603766,10.031645366751121
5,CD8 MLR,MLR63,GEN1056,1,GEN1053,1,IL-2,LS112418861 58355,LS1170885 CC00481,8.779779553413391,49.66611917143571,6.451739214328342
5,CD8 MLR,MLR63,GEN1056,1,GEN1053,0.10000000149011612,IL-2,LS112418861 58355,LS1170885 CC00481,10.195194840431213,57.672947121320696,14.459152234688354
5,CD8 MLR,MLR63,GEN1056,1,GEN1053,0.009999999776482582,IL-2,LS112418861 58355,LS1170885 CC00481,12.161712288856506,68.79729134340616,25.582675515386583
5,CD8 MLR,MLR63,GEN1056,1,GEN1053,0.0010000000474974513,IL-2,LS112418861 58355,LS1170885 CC00481,3.2197529077529907,18.213741090670787,-25.001844698482355
5,CD8 MLR,MLR63,GEN1056,0.10000000149011612,GEN1053,30,IL-2,LS112418861 58355,LS1170885 CC00481,8.521556973457336,48.20538620532531,24.40242837346075
5,CD8 MLR,MLR63,GEN1056,0.10000000149011612,GEN1053,10,IL-2,LS112418861 58355,LS1170885 CC00481,4.531600117683411,25.634697330715454,1.8322714056089389
5,CD8 MLR,MLR63,GEN1056,0.10000000149011612,GEN1053,1,IL-2,LS112418861 58355,LS1170885 CC00481,7.104784607887268,40.19088143113161,16.386627020430367
5,CD8 MLR,MLR63,GEN1056,0.10000000149011612,GEN1053,0.10000000149011612,IL-2,LS112418861 58355,LS1170885 CC00481,3.507252812385559,19.84009223518286,-3.965106724704764
5,CD8 MLR,MLR63,GEN1056,0.10000000149011612,GEN1053,0.009999999776482582,IL-2,LS112418861 58355,LS1170885 CC00481,6.438331246376038,36.42083779009827,12.617534361271929
5,CD8 MLR,MLR63,GEN1056,0.10000000149011612,GEN1053,0.0010000000474974513,IL-2,LS112418861 58355,LS1170885 CC00481,3.8994284868240356,22.058581169250342,-1.7454092100185683
5,CD8 MLR,MLR63,GEN1056,0.009999999776482582,GEN1053,30,IL-2,LS112418861 58355,LS1170885 CC00481,2.232694983482361,12.630077378194562,-0.26459121647133976
5,CD8 MLR,MLR63,GEN1056,0.009999999776482582,GEN1053,10,IL-2,LS112418861 58355,LS1170885 CC00481,2.6051265001296997,14.736876071313679,1.843942826914283
5,CD8 MLR,MLR63,GEN1056,0.009999999776482582,GEN1053,1,IL-2,LS112418861 58355,LS1170885 CC00481,3.6796761751174927,20.81546971810093,7.921904041507924
5,CD8 MLR,MLR63,GEN1056,0.009999999776482582,GEN1053,0.10000000149011612,IL-2,LS112418861 58355,LS1170885 CC00481,0.7180200815200806,4.061750152074827,-8.831526192764109
5,CD8 MLR,MLR63,GEN1056,0.009999999776482582,GEN1053,0.009999999776482582,IL-2,LS112418861 58355,LS1170885 CC00481,1.6148885488510132,9.135223342212415,-3.7588686064092975
